OTEXE,TDTE3
28,138646
28,335725
28,35740
28,245955
28,92270.04
28,94604
28,161984
28,36761
28,589504
28,545050
28,29505
28,362245
28,178695
28,192053
28,332619
28,56612
29,12840
29,327264
29,22947
29,46309.92
29,76308
29,90809
29,287400
29,129619
29,753944.11
29,24160
29,707019.8
29,479429
29,167319.06
29,97012
29,38824
29,37049
29,53391
29,115578
29,65733
29,859386
29,318319
29,95566
29,247570
29,164651
29,5421.96
29,78434.02
29,16170.88
29,6053.96
29,445473.96
29,100410
29,133313
29,102908
29,3566
29,132244
29,32579.51
29,56224
29,8216
29,12324
29,185136.59
29,1422
29,99893
29,679382
29,28245
29,896511
29,5473
29,50503
29,8287
29,142049
29,22139.51
29,203933
29,6057
29,566516.66
29,30521.52
29,173619.06
29,57696
29,5078.64
29,27431
29,34878
29,27347
29,30208.2
29,84606.99
29,36200.65
29,280830.59
29,94801.17
29,199425
29,271929
29,31549
29,311613
29,42527.97
29,10345
29,1995
29,5549
29,16142.2
29,23262
29,40063
29,92138
29,285192
29,22498
29,35474
29,44044
29,14340
29,51629
29,30312
29,201729.5
29,170621.16
29,59150
29,884238
29,61217
29,15706.08
29,702568
29,23275
29,114345
29,277768
29,27781
29,15007
29,87956
29,131089
29,329518
29,332332
29,12375.84
29,85741.7
29,202500.22
29,55611
29,45390
29,319559.24
29,92459
29,40695
29,20276
29,21894
29,162803
29,48791
29,147048
29,74332.78
29,319571
29,181103
29,139579.78
29,27184
29,50648
29,181881
29,65941
29,77957.86
29,436444
29,13096
29,1099
29,113562
29,132486.91
29,90629
29,115216
29,14433
29,6055
29,476
29,3039
29,46428
29,26738.32
29,188278
29,44164
29,12187
29,1614406.75
29,34890
29,437890
29,14100
29,2901
29,75576
29,39779
29,75965.46
29,24707.36
29,29897
29,102405
29,60031
29,42397
29,96916
29,4567
29,69084
29,46670
29,135128
29,293335.48
29,33544
29,68606
29,3717
29,43290
29,26191
29,241551
29,9290
29,1619
29,11467
29,9084.81
29,5731.67
29,2496.23
29,257796.37
29,70802
29,15060
29,148495
29,16874
29,65108.39
29,187038
29,191408
29,196362
29,186692.01
29,78014
29,220313
29,56472
29,39585
29,29143
29,78685
29,1085
29,24089
29,247088
29,140459
29,65714
29,29945.23
29,122202
29,84409
29,127518
29,33248
29,149282.98
29,193942
29,8638
29,4298.47
29,32403.79
29,53820.91
29,1098295
29,44753
29,11664.6
37,490795
37,451651
37,27990
37,113316.4
37,229686.68
37,481260
37,160291.26
37,31179.15
37,29385.08
37,662390.31
37,648750.23
37,50648
37,526872
37,357743
37,7043.29
37,262168.61
37,96808
37,121897
37,127347
37,198599
37,59608
37,291213
37,457208
37,353580
37,202152
37,1761
37,150381
37,845480
37,593947
37,563707
37,113774
37,9507
37,469057.08
37,9141.71
37,11779.45
37,916532
37,1900.91
37,215854
37,199256
37,331987
37,51375
37,29187
37,148417
37,213737
37,337338.05
37,54572
37,577299
37,25801.66
37,211092
37,259055.83
37,898126.4
37,109257.88
37,124885.15
37,472185
37,297327
37,83722
37,247425
37,27899
37,119837.63
37,401917
37,1046
37,717853.65
37,577277
37,18096
37,168171.26
37,48201.14
37,205971.94
37,50680.41
37,712724.64
37,272921.54
37,239301
37,79580
37,48394
37,188474.1
37,73048
37,2133557
37,68787.44
37,113369.54
37,4315.5
37,44555.27
37,36147.97
37,1044996
37,12161
37,107119
37,426776
37,93021
37,610503
37,824561
37,476510
37,147529.58
37,84729.68
37,80434.79
37,431599.21
37,132952
37,420890.04
37,194144.73
37,100872.22
37,282792.25
37,331022.35
37,96786
37,649816.87
37,393919
37,151548.51
37,80539
37,39895
37,130025
37,1462
37,10220979
37,234191
37,50062
37,24837
37,80401
37,61534
37,1114
37,1963
37,906822.02
37,74532.77
37,594489
37,336218
37,90953
37,480303
37,122959.09
37,368021.98
37,151893.45
37,35193
37,312945
37,166640.53
37,457567
37,330012
37,25246
37,1433858
37,886291
37,595487
37,1034107
37,414512
37,639248
37,95733
37,93126.3
37,156504.25
37,124228.83
37,115232.89
37,37466.36
37,159276
37,42502
37,279376
37,824
37,28723
37,9435
37,121377.15
37,9908.25
37,88818.19
37,219530.93
37,196858
37,75545.71
37,270645
37,161219
37,99083
37,185340
37,42247
37,8324
37,117129
37,14642
37,26557
37,4284
37,36560.45
37,377055.34
37,25095.16
37,94391.19
37,169336.11
37,16089.24
37,12061.16
37,11179.88
37,35023.63
37,118518.45
37,62922.83
37,339752.18
37,75700.79
37,432148
37,174327
37,337719
37,370239
37,179605.96
37,21581
37,173409
37,64921.69
37,271891.36
37,73717.21
37,359053
37,259653
37,448489
37,111180
37,61835.39
37,64523
37,18428
37,51788
37,4261
37,689035
37,14788.93
37,66034.28
37,263906.08
37,165003
37,3066304.61
37,19211.53
37,62029.07
37,288441.6
37,52881.25
37,229181.25
37,75032.27
37,86682.35
37,53918.98
37,279841.55
37,109831
37,107314.84
37,17768.4
37,321270.59
37,110827
37,17388
37,89882
37,414938
37,209668
37,683730
37,530208.13
37,531973
37,300839
37,1108064
37,555887
37,146141.49
37,7315.66
37,16200.94
37,20759
37,133568
37,132463
37,26990.03
37,887604.28
37,199365
37,222367
37,415304.42
37,248117
37,905661
37,1781733.14
37,186004.5
37,256234
37,206784
37,19913.69
37,189560
37,268804
37,99306
37,116074
37,994416
37,0
37,276010
37,173560
37,561018
37,35822
37,475206.54
37,11401.08
37,262024.23
37,48136.35
37,293702.56
37,189205
37,67774
37,72186
37,599202
37,17427
37,318971
37,997137
37,380003
37,1329457
37,0
37,1009405
37,153534.7
37,325472
37,152543
37,26821
37,77964
37,16723
37,123262.52
37,762023.39
37,1141499
37,241914.08
37,55124
37,18498
37,44628
37,794465
37,12426
37,15751
37,29630
37,479159
37,108051.81
37,12826
37,126718.49
37,1496653.14
37,1660017
37,915482
37,8992
37,656534
37,141545
37,395600
37,107042.05
37,302005
37,50048
37,3420
37,93247
37,385242
37,19370.13
37,128214.73
37,357851.67
37,87580.74
37,463417
37,59480.85
37,48364
37,936809
37,130982
37,56214
37,82119
37,33099
37,17390
37,38473
37,49267
37,14613.45
37,574192.86
37,41988.64
37,84072.76
37,38179.84
37,169160
37,41631
37,0
37,124206.15
37,166189.27
37,74648.27
37,157212.56
37,113607
37,60854.86
37,109401
37,161994
37,476521
37,17540
37,291048.32
37,27880
37,91543
37,2401821
37,1223573
37,99028
37,115609
37,99095
37,60725
37,98830
37,479662
37,94966
37,17413
37,45966.8
37,32049.72
37,587558
37,280275
37,741832
37,997079.17
37,571126.55
37,6828.49
37,142164.61
37,125446.93
37,101283.89
37,660553.76
37,92467
37,352843
37,308218
37,577084
37,249034
37,36557
37,768274
37,29929
37,138670
37,195965
37,74185
37,93386
37,111185
37,1231437
37,272268
37,3182924
37,57163
37,69128
37,214639
37,97706
37,146838
37,188285
37,259719
37,85978
37,213283.11
37,121469.95
37,23451.44
37,28340.12
37,16084.76
37,13085.97
37,5923.6
37,44775.54
37,26514.3
37,345008.75
37,122473.73
37,55509.4
37,227461.54
37,1684905.02
37,48990.54
37,312896.21
37,390922.85
37,79923.51
37,9937.57
37,102001.75
37,36665.03
37,207347
37,206461
37,200375
37,422918
37,221415
37,245766
37,1601432
37,9177
37,49805.62
37,2370900.62
37,74025
37,166007
37,264229
37,7135.64
37,9566.66
37,405839.6
37,162425.19
37,6686.46
37,832621.31
37,51101.24
37,120335.42
37,187852
37,168279
37,868082
37,1013659
37,62740
37,146052
37,526616
37,1091007
37,1493034
37,2780767
37,1846953
37,38643
37,122171
37,13782
37,463359
37,18410
37,24016
37,452882
37,323961
37,115307
37,14338.79
37,43705
37,104317
37,325294
37,172069
37,36042
37,16142
37,395084
